checked_at,source,brand,name,mrp,price,discount_pct,price_per_100g,in_stock,url
2026-08-19 23:00 IST,Nutrabay,Nutrabay,Nutrabay Gold Pea Protein,69,69,0.0,172.5,True,https://nutrabay.com/product/nutrabay-gold-hydrolyzed-pea-protein/?pId=3302532
2026-08-19 23:00 IST,Nutrabay,Nutrabay,Nutrabay Gold Pea Protein,69,69,0.0,172.5,True,https://nutrabay.com/product/nutrabay-gold-hydrolyzed-pea-protein/?pId=3302532
2026-08-19 23:00 IST,Nutrabay,Nutrabay,Nutrabay Gold Pea Protein,69,69,0.0,172.5,True,https://nutrabay.com/product/nutrabay-gold-hydrolyzed-pea-protein/?pId=3302532
2026-08-19 23:00 IST,Nutrabay,Velbiom,Velbiom Happy Cultures Tastiest Plant Protein,600,499,16.8,346.53,True,https://nutrabay.com/product/velbiom-happy-cultures-tastiest-plant-protein/?pId=7407265
2026-08-19 23:00 IST,Nutrabay,TruNativ,TruNativ Plant Based Everyday Protein - Protein You Can Cook With!,699,599,14.3,363.03,True,https://nutrabay.com/product/trunativ-plant-based-everyday-protein-protein-you-can-cook-with/?pId=9485223
2026-08-19 23:00 IST,Nutrabay,Nutrabay,Nutrabay Pure Pea Protein Isolate,669,649,3.0,129.8,True,https://nutrabay.com/product/nutrabay-pure-100-pea-protein-isolate/?pId=4537768
2026-08-19 23:00 IST,Nutrabay,Nutrabay,Nutrabay Wellness Vegan Plant Protein Powder + Superfoods,1199,799,33.4,159.8,True,https://nutrabay.com/product/nutrabay-wellness-vegan-plant-protein-powder-superfoods/?pId=4698878
2026-08-19 23:00 IST,Nutrabay,Nutrabay,Nutrabay Pure Pea Protein Isolate,1349,849,37.1,84.9,True,https://nutrabay.com/product/nutrabay-pure-100-pea-protein-isolate/?pId=4537768
2026-08-19 23:00 IST,Nutrabay,Nutrabay,Nutrabay BioAbsorb™ Whey Protein Powder | Clinically Tested 54% Better Protein Absorption | 26g Protein/Scoop | India's 1st Protein with ProDiFi™ for No Bloating | No Added Sugar,859,859,0.0,474.59,True,https://nutrabay.com/product/nutrabay-bioabsorb-whey-protein/?pId=8042444
2026-08-19 23:00 IST,Nutrabay,Nakpro Nutrition,Nakpro Nutrition Platinum Soy Protein Isolate,2050,899,56.1,89.9,True,https://nutrabay.com/product/nakpro-vegan-soy-protein-isolate-90-raw-pure-natural-vegetarian-plant-protein-supplement-powder/?pId=3990475
2026-08-19 23:00 IST,Nutrabay,Nakpro Nutrition,Nakpro Nutrition Platinum Soy Protein Isolate,2050,899,56.1,89.9,True,https://nutrabay.com/product/nakpro-vegan-soy-protein-isolate-90-raw-pure-natural-vegetarian-plant-protein-supplement-powder/?pId=3990475
2026-08-19 23:00 IST,Nutrabay,Nakpro Nutrition,Nakpro Nutrition Platinum Soy Protein Isolate,2300,899,60.9,89.9,True,https://nutrabay.com/product/nakpro-vegan-soy-protein-isolate-90-raw-pure-natural-vegetarian-plant-protein-supplement-powder/?pId=3990475
2026-08-19 23:00 IST,Nutrabay,Optimum Nutrition,Optimum Nutrition (ON) Gold Standard Whey Protein Powder,940,940,0.0,,True,https://nutrabay.com/product/optimum-nutrition-on-100-whey-gold-standard-2/?pId=4471481
2026-08-19 23:00 IST,Nutrabay,Velbiom,Velbiom Happy Cultures Tastiest Plant Protein,1699,949,44.1,187.92,True,https://nutrabay.com/product/velbiom-happy-cultures-tastiest-plant-protein/?pId=7407265
2026-08-19 23:00 IST,Nutrabay,Velbiom,Velbiom Happy Cultures Tastiest Plant Protein,1699,949,44.1,187.92,True,https://nutrabay.com/product/velbiom-happy-cultures-tastiest-plant-protein/?pId=7407265
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate - Single Serving Sachet,90.0,90.0,0.0,,True,https://in.fastandup.com/products/plant-protein-rich-chocolate-single-serving-sachet
2026-08-19 23:00 IST,Fast&Up,Fastandup,100% Pure & Natural Moringa Powder,250.0,238.0,4.8,,True,https://in.fastandup.com/products/100-pure-natural-moringa-powder
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Assorted Pack,270.0,243.0,10.0,,True,https://in.fastandup.com/products/fast-up-plant-protein-assorted-pack
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate - Single Serving Sachet Combo Pack (Rich Chocolate / Pack of 5),450.0,396.0,12.0,,True,https://in.fastandup.com/products/plant-protein-rich-chocolate-single-serving-sachet-combo-pack
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate - Single Serving Sachet Combo Pack (Rich Chocolate / Pack of 10),900.0,765.0,15.0,,True,https://in.fastandup.com/products/plant-protein-rich-chocolate-single-serving-sachet-combo-pack
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate - Single Serving Sachet Combo Pack (Rich Chocolate / Pack of 15),1350.0,1107.0,18.0,,True,https://in.fastandup.com/products/plant-protein-rich-chocolate-single-serving-sachet-combo-pack
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Cookies & Cream - 500g,1599.0,1119.0,30.0,223.8,True,https://in.fastandup.com/products/plant-protein-cookies-cream-500g
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate – 500gms,1599.0,1119.0,30.0,223.8,False,https://in.fastandup.com/products/plant-protein-powder-500gms
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Alphonso Mango - 1Kg,3115.0,1949.0,37.4,194.9,True,https://in.fastandup.com/products/plant-protein-alphonso-mango-25-servings
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Kesar Kulfi - 1kg,3115.0,1949.0,37.4,194.9,False,https://in.fastandup.com/products/plant-protein-powder-special-festive-pack
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Cookies & Cream - 1Kg,3115.0,1949.0,37.4,194.9,True,https://in.fastandup.com/products/plant-protein-cookies-cream-1-kg
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Strawberry Blast - 25 Servings,3115.0,1949.0,37.4,,False,https://in.fastandup.com/products/plant-protein-strawberry-25-servings
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Rich Chocolate - 1kg,3115.0,1949.0,37.4,194.9,True,https://in.fastandup.com/products/plant-protein-rich-chocolate-1kg
2026-08-19 23:00 IST,Fast&Up,Fastandup,Plant Protein - Cookies & Cream - 500g Pack of 2,3198.0,1999.0,37.5,399.8,True,https://in.fastandup.com/products/plant-protein-cookies-cream-500g-pack-of-2
2026-08-19 23:00 IST,Fast&Up,Fastandup,Daily Fiber + Plant Protein Rich Chocolate Combo,3715.0,2299.0,38.1,,True,https://in.fastandup.com/products/daily-fiber-plant-protein-rich-chocolate-combo
2026-08-19 23:00 IST,OZiva,OZiva,Pro-Collagen Protein Peptides Caramel | 250g,799.0,433.0,45.8,173.2,True,https://oziva.in/products/pro-collagen-protein-peptides-caramel-250g
2026-08-19 23:00 IST,OZiva,OZiva,"Vegan Collagen, Clinically Proven (Watermelon / Starter Pack-125g)",499.0,459.0,8.0,367.2,True,https://oziva.in/products/plant-based-collagen
2026-08-19 23:00 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Assorted),699.0,699.0,0.0,,True,https://oziva.in/products/plant-protein-pro-digest
2026-08-19 23:00 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Chocolate),699.0,699.0,0.0,,False,https://oziva.in/products/plant-protein-pro-digest
2026-08-19 23:00 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Mango),699.0,699.0,0.0,,False,https://oziva.in/products/plant-protein-pro-digest
2026-08-19 23:00 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Strawberry),699.0,699.0,0.0,,False,https://oziva.in/products/plant-protein-pro-digest
2026-08-19 23:00 IST,OZiva,OZiva,Plant Protein + Pro-Digest (Vanilla),699.0,699.0,0.0,,False,https://oziva.in/products/plant-protein-pro-digest
2026-08-19 23:00 IST,OZiva,OZiva,Bioactive Plant Protein (Assorted / Starter Pack),699.0,699.0,0.0,,True,https://oziva.in/products/oziva-bioactive-plant-protein-with-25g-vegan-protein-5-5-bcaas-100-rda-vitamins-minerals-ayurvedic-herbs-for-better-endurance-stamina-muscle-recovery-1-kg
2026-08-19 23:00 IST,OZiva,OZiva,Daily Protein Activ for Women (Rich Chocolate / Starter Pack),799.0,749.0,6.3,,True,https://oziva.in/products/daily-protein-activ-for-women-with-clean-whey-protein-multivitamins-tulsi-probiotics-for-improved-everyday-energy-stamina-bone-health-immune-health
2026-08-19 23:00 IST,OZiva,OZiva,Daily Protein Activ for Women (Classic Vanilla / Starter Pack),799.0,749.0,6.3,,False,https://oziva.in/products/daily-protein-activ-for-women-with-clean-whey-protein-multivitamins-tulsi-probiotics-for-improved-everyday-energy-stamina-bone-health-immune-health
